Image Name,Category,No.1 Style,No.2 Style,No.3 Style,No.4 Style,Style 1 Keywords,Style 2 Keywords,Style 3 Keywords,Style 4 Keywords,Neuron No.1 Style,Neuron No.2 Style,Neuron No.3 Style,Neuron No.4 Style,Neuron Style 1 Keywords,Neuron Style 2 Keywords,Neuron Style 3 Keywords,Neuron Style 4 Keywords,Origin Neuron Focus,Origin Neuron Cognitive Demand,Origin Neuron Engagement,Origin Neuron Memory,Style 1 Neuron Focus,Style 1 Neuron Cognitive Demand,Style 1 Neuron Engagement,Style 1 Neuron Memory,Style 2 Neuron Focus,Style 2 Neuron Cognitive Demand,Style 2 Neuron Engagement,Style 2 Neuron Memory,Style 3 Neuron Focus,Style 3 Neuron Cognitive Demand,Style 3 Neuron Engagement,Style 3 Neuron Memory,Style 4 Neuron Focus,Style 4 Neuron Cognitive Demand,Style 4 Neuron Engagement,Style 4 Neuron Memory,Style 1 Heatmap %,Style 1 Red Dot %,Style 1 Yellow Dot %,Style 1 Green Dot %,Style 2 Heatmap %,Style 2 Red Dot %,Style 2 Yellow Dot %,Style 2 Green Dot %,Style 3 Heatmap %,Style 3 Red Dot %,Style 3 Yellow Dot %,Style 3 Green Dot %,Style 4 Heatmap %,Style 4 Red Dot %,Style 4 Yellow Dot %,Style 4 Green Dot %,Original Heatmap %,Original Red Dot %,Original Yellow Dot %,Original Green Dot %
Image 8: International Cuisine (for catering),Restaurant,3,2,4,1,"Difficult To Read, Cluttered, Blue Sign","Black Orange, Contrast, Enhanced","Blue Orange, Natural, Appealing","Bright, Light Green, Contrast",3,1,4,2,"Blue Sign, White Door, Bottom Window","White Sign, Less Door, Minimal Window","Gray Door, Less Sign, Small Focus","Green Sign, Small Door, Minimal Others",80,92,49,57,78,49,74,36,82,51,70,33,86,52,64,49,86,42,69,45,35.275,3.494,4.49,16.127,23.179,1.05,1.862,11.906,23.245,3.238,2.271,9.829,27.215,3.315,2.436,12.341,37.265,1.667,5.3,14.283
Image 9: Local Cafe,Restaurant,2,4,1,3,"Dark, Less Attractive, Neat","Black White, Natural, Modern","Many Bright Colors, Extreme","Soft, Pleasing, Light Green",3,1,2,4,"Windows Left, Windows Right, Sign Expansion","Left Window, Right Window, Low Attention","Windows, Sign, Larger Focus","Left Window, Right Window, Equal Focus",69,46,75,48,68,45,58,52,91,45,84,56,69,39,79,55,91,41,51,54,37.092,3.453,4.46,20.659,17.033,2.602,1.35,7.445,31.088,2.109,2.885,15.57,18.372,1.932,1.128,7.501,39.853,6.683,3.311,17.431
Image 10: Pizza,Restaurant,2,4,1,3,"Black Walls, Dark, Modern","Simplistic, Modern, Sharp","Bright Purple, Extreme, Cheap","Bright Green, Welcoming, Contrast",2,1,3,4,"Central Window, Black Sign, Green Spread","Central Window, Black Sign, Surrounding Less","Central Window, White Sign, Less Surrounding","Central Window, Surround Less, Less Left Right",50,38,80,47,51,36,80,46,49,37,75,39,52,32,87,25,72,34,66,29,46.783,5.044,4.807,28.692,46.559,8.614,3.223,19.021,41.251,7.926,3.603,20.214,38.578,3.935,1.547,15.162,51.651,2.822,5.57,20.971
Image 11: Cafe for Bowls,Restaurant,2,1,4,3,"Vivid Blue, Bold, Enhanced","Orange, Simplistic, Modern","Bright Colors, Unnatural","Green Gray, Dark, Modern",1,3,4,2,"Yellow Blue Sign, Central Region, Large Focus","Orange Black Sign, White Banner, Text Focus","Yellow Purple Sign, Central Region, Large Focus","White Gray Sign, Central Region, Large Focus",50,37,72,43,37,32,66,34,73,31,59,23,46,34,81,27,53,28,41,27,57.329,5.348,7.128,30.132,38.442,9.178,3.89,12.525,50.157,5.582,3.69,24.876,44.019,5.169,2.102,21.709,56.058,5.736,7.156,21.865
Image 12: Kazoo Sushi,Restaurant,2,4,1,3,"Bright Red Blue, Unnecessary Contrast","Black White Brown, Polished","Bright Colors, Dull, Unappealing","Dark, Difficult To Read, Modern",3,4,2,1,"Red Sign, White Wall, Bulletin","Gray White Sign, White Wall, Small Door","Store Wall, Large Region, Less Sign","White Wall, Small Door, Minimal Surrounding",72,55,91,53,84,48,67,51,71,48,75,47,53,42,81,54,70,44,63,55,29.463,3.031,3.301,11.788,29.938,3.778,2.413,12.597,42.134,3.581,4.194,25.592,34.581,3.755,2.17,17.877,51.069,6.187,7.361,19.731
Image 13: Sandwich,Restaurant,2,3,1,4,"Bright Red, Extreme, Enhanced","Black White, Well-Polished, Complete","Dark Amber, Appealing, Contrast","Too Much Brown, Dull, Unenhanced",3,1,4,2,"White Red Sign, Bottom Half, Small Green","White Sign, Small Expansion, Minimal Surrounding","Orange Sign, Small Expansion, Minimal Others","Brown Sign, Single Focus, Minimal Attention",68,41,72,29,69,45,87,45,81,34,57,40,65,29,61,32,77,30,64,25,35.016,3.554,3.166,12.349,23.733,2.805,1.628,9.166,25.399,4.304,4.727,10.523,19.183,2.123,3.547,10.533,44.1,6.294,5.497,16.238
Image 14: French Restaurant,Restaurant,2,1,4,3,"Bright Red, Sharp, Light Gray","Luxurious, Palatial, Polished","Many Colors, Cluttered","Green Brown, Blurry, Unpolished",2,4,3,1,"Menu, White Sign, Red Door","Gray Door, Window, Menu","Aqua Door, Small Region, Minimal Expansion","Brown Door, Menu, Small Window",78,59,80,56,86,58,82,57,73,39,67,56,82,36,70,63,79,33,69,56,34.629,6.046,5.572,13.856,27.728,2.681,1.815,7.05,26.954,7.622,2.806,7.184,25.224,3.43,5.953,11.534,41.469,3.862,5.359,20.117
Image 15: Branch Cafe,Restaurant,2,3,1,4,"Clear Illustration, Many Colors, Bright","White Black, Fitting, Balanced","Simple, Contrast, Enhanced","Green Brown, Modern, Too Much Brown",1,4,2,3,"Store Sign, Artwork, Integrated Focus","Black Sign, Central Spread, Outward Expansion","Store Sign, Upper Artwork, Two Regions","Store Sign, Central Focus, Minimal Surrounding",78,50,77,64,63,51,96,40,72,37,80,31,78,36,82,23,66,37,69,27,41.048,6.739,6.514,17.546,28.445,3.922,2.339,10.553,23.65,5.022,2.475,11.158,34.031,5.791,5.582,16.128,43.76,5.139,6.202,20.439
Image 16: Pho,Restaurant,4,2,3,1,"Maroon, Unfitting, Cheap","White Gray, Polished, Contrasting","Bright, Cluttered, Many Colors","Green Brown, Polished, Inviting",3,1,4,2,"Yellow Sign, White Door, Three Regions","Store Sign, Upper Window, Expanded Focus","Store Sign, Upper Window, Focused Sign","Store Sign, Upper Window, Dual Focus",47,37,70,28,52,38,77,43,44,28,73,25,43,28,73,16,43,27,65,20,47.327,8.53,9.305,20.671,41.274,5.803,3.268,19.465,45.736,7.979,4.237,21.724,44.551,8.475,5.342,24.572,55.84,4.295,7.35,26.022
Image 17: Pizza,Restaurant,2,4,3,1,"Many Colors, Cluttered, Too Much","Modern, Black Frames, Bold","Bright Colors, Extreme, Enhanced","Brown Tan, Modern, Shadow Interrupted",1,3,2,4,"Central Window, Store Sign, Parking Sign","Upper Door, Window Ad, Upward Extension","Window Ad, Large Area, Store Sign","Window Ad, Central Focus, Sole Region",54,49,84,58,48,44,71,44,63,35,82,41,46,33,71,38,79,29,75,59,50.079,6.69,6.166,20.863,31.948,3.666,3.301,13.439,44.266,7.239,4.128,21.28,26.826,2.452,4.606,16.609,68.14,9.927,14.64,29.877
Image 18: Bread Bakery,Restaurant,4,2,3,1,"Bright Red, Extreme, Attention","Simplistic, Natural, Modern","Bright Colors, Cluttered, Many Colors","White Brown, Modest, Attractive",3,4,2,1,"Door Upper, Open Sign, Store Sign","Door Upper, Right Window, Store Sign","Door Upper, Extended Area, Broader Focus","Door Upper, Central Focus, Minimal Else",39,40,83,45,80,51,87,62,78,35,67,41,60,33,91,41,66,34,77,40,39.862,4.709,5.256,17.979,29.849,4.341,2.741,14.11,36.981,4.226,5.204,21.313,35.81,5.903,6.216,19,49.186,9.049,7.905,20.82
Image 19: European Cuisine,Restaurant,2,1,4,3,"Bright Red, Bold, Suitable","Black White, Modern, Polished","Many Colors, Animated, Extreme","Green, Blurry, Unpolished",2,4,1,3,"Store Sign, Door Upper, Front Table","Red Sign, Door, Parking Sign","Blue Sign, Door, Two Regions","Door, Store Sign, Four Regions",70,47,77,47,80,45,82,60,73,33,74,50,82,33,65,40,79,33,87,48,28.441,5.648,4.048,12.251,25.829,3.323,2.491,10.342,23.73,2.767,2.856,10.177,26.24,3.794,4.225,13.78,43.808,5.092,8.938,14.84
Image 20: Shabu Hotpot,Restaurant,2,1,3,4,"Gray Walls, Bold, Modern","White Dark, Bold, Polished","Many Colors, Unnatural, Welcoming","Dark Green, Unappealing, Dark",2,4,3,1,"Left Sign, Banner, Artwork","Left Sign, Below Sign, Minimal Else","Left Sign, Below Sign, Small Region","Left Sign, Banner, Artwork Design",64,39,76,57,75,32,85,51,70,37,77,47,80,33,100,41,67,33,90,54,33.263,6.133,5.654,13.632,29.677,4.208,2.782,13.237,22.805,3.17,3.378,9.377,32.067,4.652,6.118,17.277,32.543,7.882,7.356,10.106
Image 21: Bar,Restaurant,1,4,3,2,"Soft, Natural, Simplistic","Rough, Gravely, Unwelcoming","Many Colors, Dull, Hazy, Unappealing","Modern, Contrasting, Neat",2,4,1,3,"Golden Sign, Blue Door, Dual Focus","Black Sign, Black Door, Considerable Attention","Store Sign, Small Door, Minor Features","Store Sign, White Door, Small Features",76,54,70,64,79,43,82,44,78,55,73,52,78,37,78,50,76,39,76,54,31.617,5.839,5.363,13.27,,,,,24.285,3.602,3.529,9.988,24.657,4.394,3.098,7.605,38.136,3.658,6.233,12.792
Image 22: Cafe,Restaurant,2,4,1,3,"Bright, Warm, Welcoming","Natural, Neat, Contrasting","Complex Colors, Cheap, Animated","Bright, Modern, Contrasting",1,2,4,3,"Brown Pillar, Store Sign, Outward Focus","Right Sign, Central Window, Less Right","Pillar, Store Sign, Less Surroundings","Brown Pillar, Left Right Windows, Less Sign",75,36,61,54,71,33,81,51,76,45,79,36,88,30,74,33,75,28,77,35,36.108,5.534,6.367,17.829,32.591,3.24,2.511,15.26,19.521,3.965,2.032,7.403,27.023,4.324,5.007,15.03,39.996,3.202,7.226,16.795
Image 23: Stew Restaurant,Restaurant,2,4,1,3,"Complex, Colorful, Busy","Simple, Polished, Contrasting","Dull, Purple, Unappealing","Modern, Luxurious, Polished",4,2,1,3,"Roof Right, White Sign, Minor Attention","Lower Sign, Roof, Minimal Door","Roof Right, Black Sign, Less Others","Lower Sign, Roof Right, Little Else",87,23,72,42,76,31,69,47,86,31,76,45,84,28,53,53,84,27,75,43,33.192,6.222,4.294,11.291,22.297,2.219,2.125,8.506,21.365,1.786,2.99,7.3,19.066,3.148,2.666,9.41,21.97,0.488,3.975,9.553
Image 24: Mexican Food,Restaurant,4,1,2,3,"Contrasting, Warm, Balanced","Plain, Polished, Subtle","Bright, Blotchy, Interrupting","Clean, Modern, Contrasting",1,2,4,3,"Central Window, Door Right, Three Regions","Central Window, Three Regions, Less Surroundings","Store Door, Wall Artwork, Two Regions","Central Window, Dual Regions, Clear Boundaries",68,35,69,49,82,30,79,28,74,43,71,41,90,30,80,38,82,29,70,39,28.348,5.345,5.417,10.17,29.084,4.405,3.738,13.493,16.276,1.598,1.967,9.59,18.975,3.734,3.047,10.091,38.996,4.595,10.543,14.884
Image 25: Chinese Cuisine,Restaurant,4,2,1,3,"Bright, Cluttered, Complex","Contrasting, Painted, Simple","Complex, Overwhelming, Diverse","Modern, Clean, Contrasting",4,2,1,3,"Upper Door, Circular Focus, Broader Region","Upper Door, Slightly Smaller, Less Else","Upper Door, Primary Focus, Minimal Else","Upper Door, Largest Focus, Minimal Else",76,54,70,64,85,39,70,39,91,52,83,34,86,37,81,36,83,32,74,36,40.517,6.938,6.554,12.639,22.526,3.995,1.569,8.462,20.703,4.778,2.64,8.133,36.02,11.655,4.698,10.981,64.615,8.488,7.798,28.057
Image 26: Cafe,Restaurant,2,4,1,3,"Bright, Peculiar, Extreme","Contrasting, Fitting, Natural","Complex, Pillars, Colorful","Modern, Contrasting, Bright",4,3,2,1,"Small Window, Roof Gap, Sole Focus","Small Window, Store Sign, Broader Focus","Small Window, Store Sign, Minimal Else","Store Sign, Small Window, Expanded Focus",88,32,70,37,85,29,68,33,73,33,60,37,69,28,58,44,56,25,52,36,38.511,4.403,7.252,13.171,35.177,5.169,2.324,13.057,34.962,5.791,3.15,14.294,39.119,7.741,5.025,15.521,39.082,3.096,5.743,10.986
Image 27: Grill and Bar,Restaurant,2,4,1,3,"Bright, Vivid, Overwhelming","Contrasting, Enhanced, Simple","Complex, Unnatural, Pink","Modern, Welcoming, Wooden",2,3,4,1,"Door Upper, Artwork, Dual Regions","Door Upper, Pillar Number, Lower Sign","Door Upper, Artwork, Two Small Regions","Door Upper, Pillar, Lower Sign, Three Regions",63,49,69,68,78,42,69,55,77,38,67,52,76,35,61,45,81,35,70,43,37.112,5.765,8.508,15.73,22.241,3.167,2.425,7.812,23.676,3.676,3.57,8.879,18.152,2.641,2.438,7.548,36.863,2.076,3.837,13.229
Image 28: Halal Food,Restaurant,1,2,3,4,"Warm, Welcoming, Contrasting","Polished, Simple, Clean","Dull, Contrasting, Colorful","Brown, Blending, Unreadable",3,2,4,1,"Lower Sign, Door, Window","Lower Sign, Downward Focus, Less Else","Store Sign, Downward Expansion, Less Lower","Store Sign, Sole Focus, Minimal Else",53,46,72,34,78,31,78,27,63,31,46,27,61,30,56,37,78,28,53,38,39.55,7.185,6.075,14.076,37.581,6.657,1.986,14.028,41.411,4.738,4.156,15.394,31.435,7.32,4.696,12.999,55.241,3.667,5.636,23.555
Image 29: Bar,Restaurant,2,4,1,3,"Bright, Cheap, Complex","Contrasting, Clean, Golden","Run-Down, Unfitting, Bright","Dark, Contrasting, Unwelcoming",1,2,3,4,"Purple Sign, Upper Door, Broad Focus","Brown Sign, Upper Door, Dual Focus","One Region, Large Extension, Minimal Else","Four Regions, Low Attention, One Dominant",65,49,50,33,39,31,59,19,42,30,67,13,46,27,57,16,44,28,53,25,58.717,7.824,7.89,22.233,46.055,8.684,5.101,11.412,45.674,7.584,4.159,12.847,42.654,5.04,5.102,24.467,57.511,5.174,7.991,22.604
Image 30: Sushi,Restaurant,2,4,3,1,"Complex, Colorful, Cluttered","Modern, Contrasting, Dark","Complex, Cluttered, Disorganized","Modern, Balanced, Wooden",3,2,1,4,"Lower Sign, Upper Signs, Less Upper","Upper Signs, Lower Sign, Broad Expansion","Upper Signs, Lower Sign, Little Bottom","Lower Sign, Slight Upward, One Focus",54,55,67,43,57,31,73,26,41,32,80,31,37,27,74,34,56,29,68,21,59.065,9.779,9.839,22.549,48.764,10.341,4.255,13.975,48.585,10.292,5.829,19.574,40.724,6.467,3.8,20.219,64.439,9.457,9.506,26.703
Image 31: Ramen,Restaurant,2,4,3,1,"Bright, Bold, Contrasting","Modern, Natural, Neat","Bright, Vivid, Reflections","Polished, Contrasting, Teal",2,1,4,3,"Lower Window, Upper Sign, Three Regions","Lower Window, Upper Sign, Less Upper","Lower Window, Single Focus, Minimal Sign","Lower Window, Upper Sign, Expanded Bottom",52,51,67,44,75,42,57,29,76,41,70,31,86,38,67,30,76,34,60,41,37.914,4.426,7.718,15.844,24.793,2.663,3.043,12.005,23.067,3.668,3.769,7.921,24.557,5.666,4.185,10.862,54.146,5.787,6.116,21.476
Image 32: Taco Salad,Restaurant,2,1,3,4,"Contrasting, Dark, Red","Luxurious, Contrasting, Palatial","Polished, Similar, Contrasting","Old-Fashioned, Brown, Excessive",1,3,4,2,"Central Pillar, Elliptical Region, Sole Focus","Central Pillar, Circular Focus, Minimal Else","Central Pillar, Two Regions, Larger Right","Central Pillar, Two Regions, Left Smaller",74,36,75,44,76,32,78,29,86,32,62,34,78,30,61,55,77,31,58,48,32.912,5.394,5.169,14.518,20.383,1.998,1.93,6.811,21.365,2.851,3.461,10.541,21.312,2.71,2.532,9.054,37.003,3.246,3.244,17.045
Image 33: Bar,Restaurant,4,2,1,3,"Plain, Dark, Hard-To-Read","Polished, Simple, Contrasting","Dull, Dark, Unlit","Modern, Welcoming, Wooden",3,1,2,4,"Store Sign, Minimal Else, Consistent Focus","Store Sign, Largest Region, Less Else","Store Sign, Extended Downward, Broad Focus","Store Sign, Smallest Focus, Minimal Else",80,36,57,27,71,28,56,33,74,27,60,17,42,26,42,13,75,25,45,23,44.667,6.453,7.409,17.043,28.331,3.754,1.68,14.643,40.752,6.294,3.137,13.406,26.429,6.395,3.823,13.988,38.11,3.743,6.231,15.832
Image 34: Pizza,Restaurant,2,4,1,3,"Warm, Bright, Extreme","Modern, Striking, Contrasting","Unnatural, Bright, Complex","Modern, Hazy, Color-Scheme",4,1,2,3,"Open Sign, Store Sign, Three Regions","Open Sign, Left Sign, Plant, Four Regions","Store Sign, Open Sign, Two Regions","Open Sign, Left Sign, Plant, Four Regions",58,40,87,70,66,34,72,41,62,36,72,29,67,30,77,36,60,30,73,36,44.075,9.929,9.801,17.834,35.01,6.334,3.285,16.881,28.49,4.617,3.043,13.417,35.481,7.183,6.423,21.433,40.047,2.496,4.662,18.235
Image 35: Korean BBQ,Restaurant,2,4,3,1,"Extreme, Bright, Unnatural","Contrasting, Bold, Warm","Simple, Dark Signage","Modern, Contrasting, Green",4,3,1,2,"Central Window, Transparent Door, Store Sign","Store Sign, Upper Window, Dual Focus","Upper Window, Two Regions, Extended Focus","Upper Window, Store Sign, Less Sign",83,39,69,45,69,33,71,33,70,34,60,42,59,32,79,26,59,30,75,33,34.743,3.018,7.363,19.036,29.252,6.848,1.691,10.556,33.129,4.597,3.468,13.808,34.717,4.74,6.153,16.915,31.108,1,1.482,16.348
Image 36: Japanese Cuisine,Restaurant,1,4,2,3,"Bright, Welcoming, Contrasting","Cold, Dark, Unwelcoming","Unnatural, Contrasting, Vivid","Cabin-Like, Wooden, Suitable",3,2,4,1,"Central Window, Store Sign, Minimal Else","Central Window, Store Sign, Right Window","Central Window, Store Sign, Extended Right","Central Window, Store Sign, Dual Focus",70,53,76,49,75,32,76,39,73,34,68,41,57,33,84,35,77,27,70,32,39.08,4.344,6.909,14.571,27.366,4.349,2.128,14.25,30.399,4.643,2.558,13.455,25.461,3.791,3.672,15.451,43.198,5.768,7.78,15.152
Image 37: Vietnamese Restaurant,Restaurant,2,1,4,3,"Bright, Vivid, Enhanced","Modern, Polished, Natural","Cartoon-Like, Bright, Complex","Brown, Modern, Decent",1,3,4,2,"Left Right Sign, Lower Red Sign, Multi Focus","Lower Black Sign, Small Region, Minimal Else","Store Sign, Lower Sign, Expanded Focus","Left Right Sign, Lower Red Sign, Less Intense",47,52,79,50,53,41,62,30,65,39,65,32,49,35,85,33,56,32,85,38,52.299,7.798,7.948,21.438,39.742,6.777,4.702,15.916,46.72,5.901,5.851,22.083,33.679,5.815,8.145,14.636,55.706,5.825,5.626,24.22
Image 38: Sweet Store,Restaurant,1,4,3,2,"Bright red sign, polished finish, contrast","Unwelcoming, dark color scheme, illegible sign","Cheap look, complex color scheme, busy","Modern finish, light brown wood, contrast",3,1,4,2,"Store Sign, Left Window, Central Window","Left Window, Central Window, Two Regions","Store Sign, Left Window, Central Window","Central Window, Left Window, Less Sign",71,36,56,56,74,34,86,41,70,36,71,41,71,34,73,37,78,31,72,38,35.678,5.777,7.088,16.134,29.028,3.544,3.649,13.108,28.958,5.368,3.054,12.985,24.603,5.318,5.434,8.532,32.51,3.007,2.121,11.888
Image 39: Donut Store,Restaurant,2,4,3,1,"Bright red sign, too much contrast, cheap","Neat finish, natural appeal, white-black contrast","Dull, plain design, purple-red mismatch","Neat, brown frames, warm scheme",1,4,3,2,"Central Window, Store Sign, Expanded Focus","Store Sign, Expanded Downward, Minimal Sides","Central Door, Store Sign, Larger Focus","Central Door, Store Sign, Less Focus Else",73,27,67,48,45,26,54,42,59,25,54,32,53,24,67,28,56,23,57,32,53.04,7.011,8.46,24.187,34.583,4.705,2.695,16.328,37.005,7.052,4.781,13.614,38.472,5.597,8.067,21.713,33.95,3.867,4.37,13.69
Image 40: Curry,Restaurant,2,1,3,4,"Red sign, gray walls, modern scheme","Black sign, gray backdrop, pots highlight","Too many colors, plain design, complicated","Overwhelming brown, blurry sign, dull",1,3,4,2,"Central Window, Store Sign, Primary Focus","Upper Window, Store Sign, Less Surrounding","Upper Window, Store Sign, Equal Attention","Upper Window, Store Sign, Smaller Regions",48,43,77,51,69,32,61,42,75,33,64,35,68,32,51,34,76,29,52,31,36.084,4.568,5.512,16.812,23.517,5.272,2.318,10.16,32.889,3.685,3.297,11.819,27.92,4.651,6.183,11.047,50.413,8.732,7.13,20.09
Image 41: Japanese BBQ,Restaurant,2,4,1,3,"Bright red-yellow sign, too flashy, polished","Neatest, orange-white contrast, fitting","Dull look, low illumination, unappealing","Modern, brown wood, green sign",3,4,1,2,"Store Sign, Minimal Else, Central Focus","Store Sign, Door Center, Less Surrounding","Store Sign, Door Center, Door Dominant","Store Sign, Lower Sign, Dual Focus",53,30,63,39,70,27,57,23,78,25,49,27,45,25,59,29,48,26,59,35,41.103,6.172,7.209,18.241,24.417,5.607,1.81,6.848,39.387,7.069,4.375,16.915,42.213,8.794,5.815,21.6,38.965,2.61,3.76,19.088
Image 42: Vegan Cuisine,Restaurant,2,4,1,3,"Bright yellow-red, extreme, neat finish","Black simple design, modern, contrast roof","Darkest, many shadows, low illumination","Modern, warm wood, green-black contrast",1,4,2,3,"Store Sign, Large Region, Single Focus","Store Sign, Door Center, Broader Sign","Below Sign, Left Window, Expanded Region","Store Sign, Irregular Shape, Full Sign Focus",57,27,90,48,42,26,52,18,44,25,42,21,34,24,48,16,53,24,57,42,54.404,7.572,9.422,25.842,46.993,8.243,2.798,18.557,53.934,8.154,5.694,25,37.439,9.288,3.879,14.312,37.434,3.733,6.364,12.463
Image 43: Combo Lunch,Restaurant,3,2,4,1,"Bright red sign, too bright, shadows","Most modern, gray scheme, luxurious feel","Orange sign, light tan, naturally fitting","Overwhelming brown, old-fashioned feel",4,1,3,2,"Store Sign, Roof, Less Window","Window Right, Store Sign, Equal Focus","Window Right, Store Sign, Roof, Less Left","Store Sign, Roof, Less Window",57,35,63,34,62,36,60,41,75,35,55,23,73,30,82,14,63,29,70,30,42.74,3.266,7.263,17.795,25.51,2.81,1.612,10.293,27.348,4.53,2.254,13.628,32.891,4.912,5.336,14.252,31.488,2.004,3.413,15.31
Image 44: Shabu,Restaurant,4,2,3,1,"Orange store, unnaturally bright, animated","Dark frames, white wall contrast, modern","Purple windows, out of place, plain finish","Simplest, fitting scheme, modern look",2,3,1,4,"Open Sign, Store Sign, Two Regions","Open Sign, Store Sign, Equal Focus","Open Sign, Store Sign, Less Focus","Open Sign, Less Store Sign, Single Focus",60,30,56,23,51,25,52,28,41,25,67,16,45,25,60,18,58,23,47,23,50.044,6.112,8.532,21.456,56.916,8.401,5.403,16.071,56.737,5.748,4.562,26.698,52.831,6.542,5.094,21.353,43.434,5.622,6.87,11.987
Image 45: Indian Restaurant,Restaurant,1,3,4,2,"Neatest, red sign, legible contrast","Illegible sign, brown bricks, good scheme","Neat, soft purple walls, natural finish","Blurred sign, modern finish, visual appeal",3,1,2,4,"Central Window, Store Sign, Three Regions","Left Store Sign, Central Window, Roof","Store Sign, Central Window, Bottom Left Window","Bottom Store Sign, Small Region, Least Focus",60,29,75,52,32,25,60,45,44,24,63,35,35,24,61,37,79,25,55,37,55.871,9.757,8.952,26.923,41.775,5.902,3.141,21.156,46.645,7.361,3.196,22.75,29.162,4.339,2.88,14.898,45.679,3.469,5.877,19.493
Image 46: Noodle Restaurant,Restaurant,1,4,3,2,"Warmest, red accents, neat and polished","Dark gray sign, unwelcoming, poor contrast","Too bright, rainbow colors, distracting","Green plant design, white-brown contrast",3,4,1,2,"Upper Window, Store Sign, Less Else","Upper Window, Store Sign, Minimal Else","Left Store Sign, Central Window, Dual Focus","Upper Window, Store Sign, Less Else",62,34,85,68,87,29,57,61,89,28,61,57,69,28,72,56,83,29,71,43,25.38,2.892,4.215,12.906,21.276,2.335,1.366,10.831,31.155,7.226,3.217,11.702,26.963,3.577,3.394,15.937,37.38,4.716,7.585,15.641
Image 47: Drive Thru Cafe,Restaurant,1,4,2,3,"Red-gray contrast, neat, welcoming","Black sign, poor contrast, good white highlights","Too colorful, cluttered, shadows","Most modern, brown-white, well-defined",4,3,2,1,"Store Sign, Door, Plant","Store Sign, Door, Smaller Focus","Store Sign, Below Sign, Equal Attention","Store Sign, Door, Largest Region",77,49,78,57,79,32,58,43,74,30,64,42,69,28,63,30,68,28,67,37,35.19,4.686,4.09,12.003,26.621,5.135,2.127,8.143,32.971,3.618,3.434,17.1,33.433,6.004,4.772,10.947,55.854,11.274,10.455,19.6
Image 48: Alabama Cafe,Restaurant,2,4,1,3,"Too vivid, overdone scheme, sharp design","Simplest, black-light contrast, modern","Dull, unappealing, poor lighting","Modern, wooden brown, effective scheme",1,4,3,2,"Store Sign Left, Horizontal Focus, Minimal Else","Store Sign Left, Minimal Else, Horizontal Spread","Glass Window, Minimal Else, Single Focus","Glass Window, Store Sign, Upward Extension",69,39,72,33,80,36,76,57,85,35,64,55,83,30,66,34,76,30,61,39,27.392,4.813,4.73,6.359,17.428,2.7,1.232,5.358,21.667,2.672,1.76,7.345,21.423,3.002,3.606,7.841,32.937,3.809,4.445,11.667
Image 49: Bagel Store,Restaurant,2,3,1,4,"Less appealing, matching scheme","Black sign, brown contrast, white frame","Blue sign, striking, simple-modern","Complex design, too many colors, cluttered",3,4,2,1,"Upper Door, Right Window, Less Store Sign","Upper Door, Right Window, Less Store Sign","Store Sign, Upper Door, Left Window, Five Regions","Upper Door, Store Sign, Four Regions",47,39,81,40,69,32,68,41,62,30,60,28,50,30,54,20,50,29,48,35,32.295,2.708,2.993,17.488,33.236,5.177,2.748,16.454,37.876,4.915,3.21,19.346,40.73,4.792,6.684,21.51,41.621,2.268,4.087,19.701
Image 50: Donut Store,Restaurant,2,1,3,4,"Most welcoming, light blue sign, subtle","Black sign, gray backdrop, modern finish","Complex scheme, upper-lower contrast","Old-fashioned, dark brown, poor contrast",1,4,2,3,"Store Sign, Two Windows, Large Focus","Upper Door, Minimal Else, Main Focus","Store Sign, Two Windows, Store Dominant","Store Sign, Upper Window, Store Less",71,35,74,41,66,27,62,34,69,29,57,22,79,27,64,29,66,27,60,35,34.826,3.556,4.31,15.013,26.609,4.11,2.122,11.171,21.378,3.238,3.163,12.813,26.921,3.887,5.12,16.962,30.843,1.954,4.564,14.891
Image 51: Brunch Restaurant,Restaurant,4,3,2,1,"Old-fashioned, dark scheme, unwelcoming","Complex, red unfitting, too much","Bright rainbow, contrast, welcoming","Green sign, gray contrast, best fitting",2,3,4,1,"Store Sign, Central Focus, Minimal Else","Store Sign, Central Focus, Less Surrounding","Store Sign, Center Focus, Less Surrounding","Store Sign, Center Focus, Minimal Else",85,58,74,52,90,33,45,58,91,33,61,47,92,32,67,35,91,37,61,51,21.312,2.634,3.432,10.108,17.754,3.578,2.655,9.574,14.269,2.113,1.633,8.073,16.483,1.759,3.315,10.853,40.214,4.842,5.913,12.384
Image 52: Indian Restaurant,Restaurant,4,3,2,1,"White features, good contrast, shadows","Brown frames, cluttered reflections, modern","Bright patterns, welcoming, striking","Dark wood, luxurious feel, green plant",1,3,2,4,"Central Window, Right Window, Large Focus","Store Sign, Right Window, Less Else","Window Artwork, Right Sign, Equal Focus","Central Window, Artwork, Minimal Else",45,56,67,50,65,39,69,38,80,42,60,50,78,35,71,41,80,43,67,28,36.989,6.222,3.419,14.786,25.956,2.467,2.474,16.451,27.639,2.291,5.125,16.73,27.421,3.308,3.76,13.416,49.656,7.087,5.394,18.993
